n,determinant,correct,additions,multiplications,matrix_additions,matrix_multiplications,matrix_inversions,matrix_lu_factorizations,time
2,0.05191717024929294,true,1,5,1,2,2,3,4.792213439941406e-5
3,-0.36609020883650795,true,59,27,56,24,4,5,3.719329833984375e-5
4,0.028763556605722215,true,64,45,61,25,10,7,4.100799560546875e-5
5,-0.26613543557588465,true,667,193,494,194,12,9,9.489059448242188e-5
6,-0.0058666912213623055,true,951,301,769,300,18,11,0.00013208389282226562
7,0.005331883861908976,true,963,319,774,301,24,13,0.0001418590545654297
8,0.0031582203711259843,true,1014,363,819,316,34,15,0.00015306472778320312
9,0.006617393002206582,true,5676,1393,3898,1514,36,17,0.0005030632019042969
10,0.0050405631717756255,true,8675,2131,6063,2355,42,19,0.0008990764617919922
11,-0.005488736604110508,true,8970,2239,6338,2461,48,21,0.0009839534759521484
12,-0.0009337108329178772,true,9850,2517,7085,2749,58,23,0.0009560585021972656
13,-0.02855477920727739,true,10253,2535,7090,2750,64,25,0.0009970664978027344
14,0.04294624763932356,true,10325,2579,7135,2765,74,27,0.0008821487426757812
15,0.012982827190222295,true,10391,2623,7180,2780,84,29,0.0009860992431640625
16,-0.0002834777421988486,true,10502,2693,7265,2809,98,31,0.0009610652923583984
17,0.14028603290200048,true,44017,9897,28866,11210,100,33,0.003854036331176758
18,-0.0525993700110871,true,67293,15045,44261,17196,106,35,0.0046939849853515625
19,0.002469168212431505,true,70311,15783,46426,18037,112,37,0.0051059722900390625
20,-0.009468151670950636,true,78424,17699,52087,20236,122,39,0.0055849552154541016
21,-0.0715695083891958,true,79334,17807,52362,20342,128,41,0.005537986755371094
22,0.21288948458839124,true,80247,18085,53109,20630,138,43,0.00569915771484375
23,0.2239066451455077,true,81150,18363,53856,20918,148,45,0.005820035934448242
24,-0.1722619373976208,true,82648,18811,55075,21388,162,47,0.011485815048217773
25,-0.1403383332497672,true,86424,18829,55080,21389,168,49,0.005773067474365234
26,-0.3325311645254599,true,88425,18873,55125,21404,178,51,0.005828142166137695
27,7.509912594237007,true,88524,18917,55170,21419,188,53,0.005860090255737305
28,-0.5168764687606601,true,88934,18987,55255,21448,202,55,0.006042003631591797
29,-0.2569567963382015,true,89839,19031,55300,21463,212,57,0.005981922149658203
30,-4.440009400456667,true,89995,19101,55385,21492,226,59,0.006039857864379883
31,18.962967800231976,true,90137,19171,55470,21521,240,61,0.006333112716674805
