n,correct,additions,multiplications,matrix_additions,matrix_multiplications,matrix_inversions,matrix_lu_factorizations,time
2,true,2,9,2,4,3,2,0.1495978832244873
3,true,11,32,7,18,7,4,7.390975952148438e-5
4,true,34,83,30,44,13,6,4.38690185546875e-5
5,true,73,149,44,126,17,8,5.888938903808594e-5
6,true,148,271,98,244,23,10,7.796287536621094e-5
7,true,251,427,171,372,31,12,9.894371032714844e-5
8,true,424,682,322,580,41,14,0.00012993812561035156
9,true,591,902,366,934,45,16,0.00017309188842773438
10,true,862,1258,518,1420,51,18,0.00024199485778808594
11,true,1169,1654,675,1880,59,20,0.0003020763397216797
12,true,1640,2257,999,2534,69,22,0.0003960132598876953
13,true,2037,2746,1222,3014,77,24,0.0004608631134033203
14,true,2642,3490,1665,3722,87,26,0.0005550384521484375
15,true,3283,4275,2107,4456,99,28,0.0006642341613769531
16,true,4224,5420,2858,5524,113,30,0.0007660388946533203
17,true,4919,6220,3010,6966,117,32,0.0009410381317138672
18,true,5950,7412,3502,8924,123,34,0.0011429786682128906
19,true,6997,8620,3911,10712,131,36,0.0013451576232910156
20,true,8510,10365,4767,13150,141,38,0.0016391277313232422
21,true,9647,11656,5232,14778,149,40,0.001837015151977539
22,true,11298,13534,6218,17036,159,42,0.002104043960571289
23,true,12951,15417,7088,19194,171,44,0.002368927001953125
24,true,15292,18078,8624,22160,185,46,0.002772808074951172
25,true,16889,19845,9423,24024,193,48,0.003213167190551758
26,true,19186,22395,10942,26652,203,50,0.003339052200317383
27,true,21435,24896,12286,29182,215,52,0.003564119338989258
28,true,24608,28423,14539,32710,229,54,0.004055023193359375
29,true,26887,30937,15893,35180,241,56,0.013209819793701172
30,true,30124,34511,18226,38668,255,58,0.004654884338378906
31,true,33291,38019,20341,42092,271,60,0.005035877227783203
32,true,37696,42888,23674,46836,289,62,0.005582094192504883
33,true,40535,45936,24234,52630,293,64,0.006155967712402344
34,true,44558,50272,25982,60476,299,66,0.007109165191650391
35,true,48413,54432,27231,67576,307,68,0.007800102233886719
36,true,53794,60245,29895,77150,317,70,0.015558958053588867
37,true,57559,64288,31072,83370,325,72,0.009540796279907227
38,true,62852,69984,33762,91828,335,74,0.010499954223632812
39,true,67953,75487,35872,99682,347,76,0.011297941207885742
40,true,74992,83078,39776,110240,361,78,0.016093969345092773
41,true,79489,87859,41437,116516,369,80,0.013252973556518555
