n,correct,additions,multiplications,matrix_additions,matrix_multiplications,matrix_inversions,matrix_lu_factorizations,time
2,true,2,9,2,4,3,2,0.04815793037414551
3,true,99,53,95,39,7,4,8.082389831542969e-5
4,true,104,78,100,39,13,6,4.982948303222656e-5
5,true,1181,359,895,347,17,8,0.00015401840209960938
6,true,1465,479,1170,452,23,10,0.0001850128173828125
7,true,1501,519,1195,459,31,12,0.00019598007202148438
8,true,1552,580,1240,473,41,14,0.00020694732666015625
9,true,10113,2505,6949,2692,45,16,0.0008959770202636719
10,true,13112,3265,9114,3532,51,18,0.0011010169982910156
11,true,13706,3473,9625,3728,59,20,0.001110076904296875
12,true,14586,3778,10372,4015,69,22,0.0012271404266357422
13,true,15272,3827,10397,4022,77,24,0.0012111663818359375
14,true,15344,3903,10442,4036,87,26,0.0012199878692626953
15,true,15441,3981,10507,4057,99,28,0.0012400150299072266
16,true,15552,4088,10592,4085,113,30,0.0012819766998291016
17,true,77599,17491,50699,19681,117,32,0.012835979461669922
18,true,100875,22681,66094,25666,123,34,0.007008790969848633
19,true,106451,24035,70007,27185,131,36,0.00745701789855957
20,true,114564,25998,75668,29383,141,38,0.00829005241394043
21,true,116180,26221,76179,29579,149,40,0.00808405876159668
22,true,117093,26551,76926,29866,159,42,0.008275032043457031
23,true,118306,26947,77909,30244,171,44,0.008234024047851562
24,true,119804,27452,79128,30713,185,46,0.008387088775634766
25,true,126612,27519,79153,30720,193,48,0.008526802062988281
26,true,128613,27625,79198,30734,203,50,0.015478849411010742
27,true,128882,27721,79263,30755,215,52,0.008437156677246094
28,true,129292,27858,79348,30783,229,54,0.008708000183105469
29,true,130783,27957,79413,30804,241,56,0.00855398178100586
30,true,130939,28099,79498,30832,255,58,0.008414030075073242
31,true,131127,28227,79603,30867,271,60,0.008415937423706055
32,true,131328,28400,79728,30909,289,62,0.008379936218261719
33,true,569823,122089,360621,140144,293,64,0.042608022689819336
34,true,737330,158189,468626,182144,299,66,0.05379295349121094
35,true,779578,167505,496353,192924,307,68,0.05727100372314453
36,true,840726,180974,536412,208499,317,70,0.06020617485046387
37,true,848068,182355,540325,210018,325,72,0.060534000396728516
38,true,856238,184363,545986,212216,335,74,0.061836957931518555
39,true,866967,186925,553395,215093,347,76,0.06250905990600586
40,true,880232,190116,562552,218649,361,78,0.06626605987548828
41,true,891522,190369,563063,218845,369,80,0.06366491317749023
42,true,895468,190749,563810,219132,379,82,0.06426811218261719
43,true,896953,191175,564793,219510,391,84,0.06368494033813477
44,true,898922,191730,566012,219979,405,86,0.07264494895935059
45,true,902273,192159,566995,220357,417,88,0.06584382057189941
46,true,903840,192719,568214,220826,431,90,0.12350893020629883
47,true,905718,193321,569669,221386,447,92,0.07819294929504395
48,true,907880,194056,571360,222037,465,94,0.06486010551452637
49,true,960536,194159,571385,222044,473,96,0.06393909454345703
50,true,979352,194325,571430,222058,483,98,0.06438803672790527
51,true,983345,194457,571495,222079,495,100,0.06363701820373535
52,true,989226,194654,571580,222107,509,102,0.06483197212219238
53,true,992005,194789,571645,222128,521,104,0.06993603706359863
54,true,992496,194991,571730,222156,535,106,0.06617093086242676
55,true,993158,195155,571835,222191,551,108,0.06366801261901855
56,true,993960,195388,571960,222233,569,110,0.06378602981567383
57,true,1008677,195529,572025,222254,581,112,0.06415486335754395
58,true,1012970,195741,572110,222282,595,114,0.06330513954162598
59,true,1013530,195911,572215,222317,611,116,0.06360411643981934
60,true,1014374,196154,572340,222359,629,118,0.06954407691955566
61,true,1017444,196327,572445,222394,645,120,0.06456184387207031
62,true,1017738,196575,572570,222436,663,122,0.06637001037597656
63,true,1018079,196777,572715,222485,683,124,0.0636301040649414
64,true,1018432,197056,572880,222541,705,126,0.0643458366394043
