n,correct,additions,multiplications,matrix_additions,matrix_multiplications,matrix_inversions,time
2,true,2,7,2,0,3,0.45127010345458984
3,true,12,26,9,18,5,0.03226900100708008
4,true,40,70,34,56,7,2.193450927734375e-5
5,true,84,131,57,146,9,3.314018249511719e-5
6,true,168,241,111,274,11,4.506111145019531e-5
7,true,274,375,188,408,13,5.698204040527344e-5
8,true,448,588,322,616,15,7.987022399902344e-5
9,true,632,805,401,994,17,0.00011897087097167969
10,true,918,1137,543,1482,19,0.000164031982421875
11,true,1222,1487,713,1922,21,0.00031113624572753906
12,true,1668,1994,980,2508,23,0.00029587745666503906
13,true,2092,2470,1251,3014,25,0.00035119056701660156
14,true,2704,3151,1659,3714,27,0.0004229545593261719
15,true,3312,3826,2083,4390,29,0.0005071163177490234
16,true,4160,4760,2690,5320,31,0.0006470680236816406
17,true,4912,5577,2977,6850,33,0.0007519721984863281
18,true,5962,6713,3415,8778,35,0.001027822494506836
19,true,6968,7801,3873,10442,37,0.00121307373046875
20,true,8336,9274,4532,12540,39,0.0014629364013671875
21,true,9530,10554,5144,14216,41,0.0016911029815673828
22,true,11156,12291,6013,16374,43,0.001814126968383789
23,true,12680,13920,6866,18292,45,0.0019519329071044922
24,true,14712,16084,8038,20752,47,0.011545896530151367
25,true,16420,17892,9057,22722,49,0.0025358200073242188
26,true,18718,20319,10463,25306,51,0.002774953842163086
27,true,20838,22560,11799,27638,53,0.0030028820037841797
28,true,23636,25510,13596,30668,55,0.0034089088439941406
29,true,25994,27991,15146,33180,57,0.003729104995727539
30,true,29124,31277,17237,36486,59,0.0040988922119140625
31,true,31982,34281,19186,39492,61,0.010277986526489258
32,true,35712,38192,21762,43400,63,0.005033016204833984
33,true,38752,41361,22849,49538,65,0.005403041839599609
34,true,42770,45545,24359,57226,67,0.00625300407409668
35,true,46404,49333,25801,63786,69,0.009547233581542969
36,true,51128,54250,27748,71932,71,0.007681846618652344
37,true,55032,58308,29432,78288,73,0.008442878723144531
38,true,60144,63615,31709,86278,75,0.011904001235961914
39,true,64742,68394,33834,93164,77,0.012109041213989258
40,true,70672,74548,36646,101744,79,0.01094198226928711
41,true,75446,79488,38982,108340,81,0.013901948928833008
42,true,81682,85935,42105,116702,83,0.014113187789916992
43,true,87256,91704,44974,123948,85,0.015034914016723633
44,true,94428,99118,48736,133044,87,0.01815509796142578
45,true,100286,105169,51883,140254,89,0.016981124877929688
46,true,107884,113009,56035,149410,91,0.017966032028198242
47,true,114654,120003,59813,157402,93,0.02035999298095703
48,true,123312,128936,64714,167448,95,0.021669864654541016
49,true,130180,136000,68669,175226,97,0.020303964614868164
50,true,139090,145159,73871,185178,99,0.023653030395507812
51,true,146988,153286,78561,193882,101,0.024837970733642578
52,false,157088,163670,84628,204892,103,0.026269197463989258
53,true,165266,172073,89614,213692,105,0.02746105194091797
54,true,175812,182901,96113,224942,107,0.028482913970947266
55,true,185144,192493,101944,234824,109,0.029793977737426758
56,true,197016,204684,109430,247312,111,0.030537843704223633
57,true,206402,214305,115416,257096,113,0.03362607955932617
58,true,218506,226705,123205,269654,115,0.0334010124206543
59,true,229176,237647,130152,280688,117,0.03504800796508789
60,true,242748,251554,139056,294676,119,0.03837108612060547
61,true,253676,262748,146299,305902,121,0.03903794288635254
62,true,267696,277099,155659,320274,123,0.040122032165527344
63,true,280044,289752,163985,332930,125,0.042654991149902344
64,true,295680,305760,174594,348936,127,0.043673038482666016
65,true,307904,318241,178817,373506,129,0.046890974044799805
66,false,323618,334281,184391,404234,131,0.050968170166015625
