n,correct,additions,multiplications,inversions,execution_time
3,1.0,9,18,2,7.61e-5
4,1.0,34,56,3,6.39e-5
5,1.0,57,146,4,5.96e-5
6,1.0,111,274,5,7.21e-5
7,1.0,188,408,6,0.0001052
8,1.0,322,616,7,0.0001235
9,1.0,401,994,8,0.0001737
10,1.0,543,1482,9,0.0002366
11,1.0,713,1922,10,0.0003005
12,1.0,980,2508,11,0.0005651
13,1.0,1251,3014,12,0.0005998
14,1.0,1659,3714,13,0.0005442
15,0.0,2083,4390,14,0.0005856
16,1.0,2690,5320,15,0.0006561
17,1.0,2977,6850,16,0.0009038
18,1.0,3415,8778,17,0.0010502
19,1.0,3873,10442,18,0.0012571
20,1.0,4532,12540,19,0.0016111
21,1.0,5144,14216,20,0.0017957
22,1.0,6013,16374,21,0.0021385
23,1.0,6866,18292,22,0.0021791
24,1.0,8038,20752,23,0.0023691
25,1.0,9057,22722,24,0.0032393
26,0.0,10463,25306,25,0.1346308
27,1.0,11799,27638,26,0.0034301
28,1.0,13596,30668,27,0.0041294
29,0.0,15146,33180,28,0.004927
30,1.0,17237,36486,29,0.005542
31,1.0,19186,39492,30,0.1105555
32,0.0,21762,43400,31,0.0042972
33,1.0,22849,49538,32,0.0052865
34,1.0,24359,57226,33,0.0061367
35,1.0,25801,63786,34,0.0089339
36,0.0,27748,71932,35,0.0073254
37,1.0,29432,78288,36,0.0081658
38,1.0,31709,86278,37,0.0087421
39,1.0,33834,93164,38,0.0099335
40,1.0,36646,101744,39,0.0123536
41,1.0,38982,108340,40,0.013228
42,1.0,42105,116702,41,0.0123753
43,1.0,44974,123948,42,0.0149079
44,1.0,48736,133044,43,0.0160464
45,1.0,51883,140254,44,0.0146388
46,1.0,56035,149410,45,0.0179073
47,1.0,59813,157402,46,0.0186728
48,1.0,64714,167448,47,0.0199463
49,1.0,68669,175226,48,0.0198213
50,1.0,73871,185178,49,0.0214254
51,0.0,78561,193882,50,0.0231792
52,1.0,84628,204892,51,0.024257
53,1.0,89614,213692,52,0.0254931
54,1.0,96113,224942,53,0.0282523
55,1.0,101944,234824,54,0.0268563
56,1.0,109430,247312,55,0.0279772
57,0.0,115416,257096,56,0.02958
58,1.0,123205,269654,57,0.0309949
59,1.0,130152,280688,58,0.0330231
60,0.0,139056,294676,59,0.0330329
61,0.0,146299,305902,60,0.0323382
62,1.0,155659,320274,61,0.0353114
63,1.0,163985,332930,62,0.0364153
64,0.0,174594,348936,63,0.037031
65,1.0,178817,373506,64,0.0413635
66,1.0,184391,404234,65,0.0483444
67,1.0,189433,430378,66,0.0527671
68,1.0,195972,462716,67,0.0544394
69,1.0,201360,487792,68,0.058806
70,1.0,208397,519110,69,0.0636088
71,1.0,214722,545868,70,0.0648679
72,1.0,222854,578928,71,0.0690556
73,1.0,229366,604028,72,0.0715124
74,0.0,237849,635502,73,0.0755915
75,0.0,245422,662404,74,0.079987
76,1.0,255136,695764,75,0.0872853
77,0.0,263043,721766,76,0.0862339
78,1.0,273267,754322,77,0.0899054
79,0.0,282365,782258,78,0.0914487
80,1.0,293962,816856,79,0.0915446
81,1.0,303106,843084,80,0.093972
82,0.0,314937,876094,81,0.099149
83,1.0,325408,904400,82,0.1083174
84,1.0,338760,939620,83,0.1119765
85,1.0,349535,967158,84,0.1110533
86,0.0,363391,1001754,85,0.1217283
87,1.0,375635,1031526,86,0.1224693
88,1.0,391166,1068512,87,0.1274273
89,1.0,403389,1096818,88,0.1224508
90,0.0,419111,1132506,89,0.1261336
91,1.0,432951,1163214,90,0.1442057
92,1.0,450508,1201484,91,0.1380172
93,0.0,464604,1231520,92,0.1451238
94,0.0,482641,1269310,93,0.1446078
95,0.0,498508,1301928,94,0.1425498
96,1.0,518546,1342504,95,0.1522292
97,1.0,534133,1373418,96,0.1532112
98,0.0,554127,1412506,97,0.1610994
99,1.0,571645,1446194,98,0.1676791
100,0.0,593812,1488284,99,0.1710266
101,0.0,611520,1521360,100,0.1761591
102,1.0,634125,1563078,101,0.1716948
103,1.0,653930,1599132,102,0.1827353
104,0.0,678886,1644080,103,0.1990192
105,1.0,698348,1678632,104,0.1872755
106,1.0,723221,1722342,105,0.1971611
107,1.0,744952,1760088,106,0.2096043
108,1.0,772360,1807268,107,0.2073776
109,0.0,794197,1844426,108,0.2090714
110,0.0,821983,1891306,109,0.2275132
111,1.0,846267,1931886,110,0.2264738
112,1.0,876778,1982488,111,0.2193679
113,0.0,900372,2021216,112,0.2339336
114,0.0,930477,2070278,113,0.2416462
115,1.0,956702,2112668,114,0.2486442
116,0.0,989728,2165716,115,0.2360756
117,1.0,1015957,2207506,116,0.2410876
118,1.0,1049283,2260290,117,0.2537426
119,1.0,1078333,2305994,118,0.25135
120,0.0,1114782,2363040,119,0.2493548
121,0.0,1143053,2406978,120,0.2560151
122,0.0,1179031,2462618,121,0.2673711
123,0.0,1210319,2510734,122,0.2669776
124,0.0,1249628,2570924,123,0.2715849
125,0.0,1280800,2618392,124,0.2756036
126,0.0,1320313,2678318,125,0.6692753
127,0.0,1354704,2730240,126,0.6354352
128,1.0,1397762,2795016,127,0.6685115
129,0.0,1414401,2893314,128,0.692869
130,1.0,1435783,3016202,129,0.7141911
131,0.0,1454553,3120682,130,0.7429087
132,1.0,1478340,3249788,131,0.8258915
133,1.0,1497376,3349744,132,0.8143319
134,0.0,1521709,3474374,133,0.8684997
135,0.0,1543058,3580620,134,0.8853281
136,0.0,1569990,3711600,135,0.90665
137,1.0,1591022,3810716,136,0.9212372
138,0.0,1617929,3934638,137,1.0014499
139,0.0,1641462,4040164,138,0.9568688
140,0.0,1671168,4170580,139,0.4512681
141,1.0,1694859,4271750,140,0.460765
142,0.0,1725027,4397906,141,0.4938481
143,0.0,1751413,4505618,142,0.4940618
144,1.0,1784586,4638424,143,0.5068643
145,1.0,1810258,4738452,144,0.5167468
