n,correct,additions,multiplications,matrix_additions,matrix_multiplications,matrix_inversions,time
2,true,2,7,2,0,3,0.15172696113586426
3,true,115,50,112,42,5,0.09434390068054199
4,true,138,63,132,49,7,2.193450927734375e-5
5,true,1336,358,998,385,9,0.18239688873291016
6,true,1634,443,1234,476,11,0.00015807151794433594
7,true,1664,456,1254,483,13,0.0001380443572998047
8,true,1694,469,1274,490,15,0.0001380443572998047
9,true,11001,2528,7432,2884,17,0.0007390975952148438
10,true,13558,3117,9180,3563,19,0.00090789794921875
11,true,13867,3202,9416,3654,21,0.0009300708770751953
12,true,14176,3287,9652,3745,23,0.0009999275207519531
13,true,14975,3300,9672,3752,25,0.0009720325469970703
14,true,15144,3313,9692,3759,27,0.0009701251983642578
15,true,15189,3326,9712,3766,29,0.0009779930114746094
16,true,15234,3339,9732,3773,31,0.000982046127319336
17,true,82230,17746,52934,20573,33,0.0052449703216552734
18,true,101166,21863,65266,25368,35,0.017587900161743164
19,true,103742,22452,67014,26047,37,0.006406068801879883
20,true,106318,23041,68762,26726,39,0.0066339969635009766
21,true,107836,23126,68998,26817,41,0.006745100021362305
22,true,108364,23211,69234,26908,43,0.006950855255126953
23,true,108696,23296,69470,26999,45,0.006781816482543945
24,false,109028,23381,69706,27090,47,0.006816864013671875
25,true,116548,23394,69726,27097,49,0.006791114807128906
26,true,118488,23407,69746,27104,51,0.006757020950317383
27,true,118684,23420,69766,27111,53,0.014816999435424805
28,true,118880,23433,69786,27118,55,0.0065920352935791016
29,true,120574,23446,69806,27125,57,0.0066530704498291016
30,true,120918,23459,69826,27132,59,0.006958961486816406
31,true,120994,23472,69846,27139,61,0.006779909133911133
32,true,121070,23485,69866,27146,63,0.006806850433349609
33,true,593639,124328,372376,144788,65,0.04024696350097656
34,true,728258,153141,458796,178395,67,0.048892974853515625
35,true,747229,157258,471128,183190,69,0.05037117004394531
36,true,766200,161375,483460,187985,71,0.05120992660522461
37,true,770865,161964,485208,188664,73,0.051492929458618164
38,true,773820,162553,486956,189343,75,0.05130887031555176
39,true,776435,163142,488704,190022,77,0.05180811882019043
40,true,779050,163731,490452,190701,79,0.05251598358154297
41,true,791193,163816,490688,190792,81,0.052500009536743164
42,true,794516,163901,490924,190883,83,0.05716705322265625
43,true,795087,163986,491160,190974,85,0.05258798599243164
44,true,795658,164071,491396,191065,87,0.051831960678100586
45,true,798519,164156,491632,191156,89,0.051605939865112305
46,true,799310,164241,491868,191247,91,0.05173301696777344
47,true,799689,164326,492104,191338,93,0.05601787567138672
48,true,800068,164411,492340,191429,95,0.05152702331542969
49,true,857209,164424,492360,191436,97,0.05170607566833496
50,true,873040,164437,492380,191443,99,0.051400184631347656
51,true,875031,164450,492400,191450,101,0.05138897895812988
52,true,877022,164463,492420,191457,103,0.05554604530334473
53,true,880187,164476,492440,191464,105,0.05105400085449219
54,true,880922,164489,492460,191471,107,0.05135393142700195
55,true,881173,164502,492480,191478,109,0.051325082778930664
56,true,881424,164515,492500,191485,111,0.051338911056518555
57,true,897647,164528,492520,191492,113,0.055458784103393555
58,true,901810,164541,492540,191499,115,0.0508880615234375
59,true,902213,164554,492560,191506,117,0.05144619941711426
60,true,902616,164567,492580,191513,119,0.051115989685058594
61,true,906101,164580,492600,191520,121,0.05542588233947754
62,true,906796,164593,492620,191527,123,0.05102109909057617
63,true,906935,164606,492640,191534,125,0.051033973693847656
64,true,907074,164619,492660,191541,127,0.051258087158203125
65,true,4222052,870514,2610326,1015077,129,0.2811450958251953
66,true,5168410,1072199,3215362,1250368,131,0.36255407333374023
67,true,5303096,1101012,3301782,1283975,133,0.37508583068847656
68,true,5437782,1129825,3388202,1317582,135,0.38420605659484863
69,true,5460602,1133942,3400534,1322377,137,0.38150596618652344
70,true,5480272,1138059,3412866,1327172,139,0.3880119323730469
71,true,5499314,1142176,3425198,1331967,141,0.3854670524597168
72,true,5518356,1146293,3437530,1336762,143,0.38446497917175293
73,true,5541454,1146882,3439278,1337441,145,0.3918440341949463
74,true,5549252,1147471,3441026,1338120,147,0.39171314239501953
75,true,5552282,1148060,3442774,1338799,149,0.3849601745605469
76,true,5555312,1148649,3444522,1339478,151,0.38646602630615234
77,true,5562216,1149238,3446270,1340157,153,0.3847479820251465
78,true,5565610,1149827,3448018,1340836,155,0.3871018886566162
79,true,5568304,1150416,3449766,1341515,157,0.3895759582519531
80,true,5570998,1151005,3451514,1342194,159,0.38846397399902344
81,true,5661738,1151090,3451750,1342285,161,0.38440799713134766
82,true,5687048,1151175,3451986,1342376,163,0.38614416122436523
83,true,5690454,1151260,3452222,1342467,165,0.39102697372436523
84,true,5693860,1151345,3452458,1342558,167,0.39023303985595703
85,false,5699160,1151430,3452694,1342649,169,0.38674378395080566
86,true,5700590,1151515,3452930,1342740,171,0.3861808776855469
87,true,5701248,1151600,3453166,1342831,173,0.38675904273986816
88,false,5701906,1151685,3453402,1342922,175,0.3887908458709717
89,true,5727104,1151770,3453638,1343013,177,0.3860170841217041
90,true,5733762,1151855,3453874,1343104,179,0.3896059989929199
91,true,5734644,1151940,3454110,1343195,181,0.38863301277160645
92,true,5735526,1152025,3454346,1343286,183,0.38697290420532227
93,true,5741074,1152110,3454582,1343377,185,0.38561201095581055
94,true,5742392,1152195,3454818,1343468,187,0.3897359371185303
95,true,5742866,1152280,3455054,1343559,189,0.3822448253631592
96,false,5743340,1152365,3455290,1343650,191,0.38668298721313477
97,true,6152874,1152378,3455310,1343657,193,0.3851168155670166
98,true,6268828,1152391,3455330,1343664,195,0.3848130702972412
99,true,6284758,1152404,3455350,1343671,197,0.3813939094543457
100,true,6300688,1152417,3455370,1343678,199,0.38305115699768066
101,true,6308288,1152430,3455390,1343685,201,0.38636016845703125
102,true,6311298,1152443,3455410,1343692,203,0.3805828094482422
103,true,6313392,1152456,3455430,1343699,205,0.38828206062316895
104,true,6315486,1152469,3455450,1343706,207,0.3860938549041748
105,false,6344892,1152482,3455470,1343713,209,0.38004088401794434
106,false,6352518,1152495,3455490,1343720,211,0.3848750591278076
107,true,6353360,1152508,3455510,1343727,213,0.3812220096588135
108,false,6354202,1152521,3455530,1343734,215,0.38437914848327637
109,true,6360502,1152534,3455550,1343741,217,0.3791618347167969
110,true,6361852,1152547,3455570,1343748,219,0.37824511528015137
111,true,6362214,1152560,3455590,1343755,221,0.38886189460754395
112,true,6362576,1152573,3455610,1343762,223,0.3801560401916504
113,true,6486372,1152586,3455630,1343769,225,0.3852410316467285
114,true,6520618,1152599,3455650,1343776,227,0.378375768661499
115,true,6524896,1152612,3455670,1343783,229,0.38427186012268066
116,false,6529174,1152625,3455690,1343790,231,0.3854639530181885
117,true,6536066,1152638,3455710,1343797,233,0.38187193870544434
118,true,6537648,1152651,3455730,1343804,235,0.3848991394042969
119,true,6538170,1152664,3455750,1343811,237,0.3831980228424072
120,true,6538692,1152677,3455770,1343818,239,0.3788309097290039
121,true,6572322,1152690,3455790,1343825,241,0.3868081569671631
122,true,6580932,1152703,3455810,1343832,243,0.3807950019836426
123,false,6581750,1152716,3455830,1343839,245,0.3816661834716797
124,true,6582568,1152729,3455850,1343846,247,0.3836519718170166
125,false,6589636,1152742,3455870,1343853,249,0.38152503967285156
126,true,6591034,1152755,3455890,1343860,251,0.38448309898376465
127,true,6591300,1152768,3455910,1343867,253,0.38878822326660156
128,true,6591566,1152781,3455930,1343874,255,0.38436198234558105
129,false,29810101,6094040,18279688,7108668,257,1.989366054534912
130,true,36442446,7505829,22515036,8755747,259,2.447924852371216
131,true,37388935,7707514,23120072,8991038,261,2.511847972869873
132,true,38335424,7909199,23725108,9226329,263,2.575745105743408
133,true,38477479,7938012,23811528,9259936,265,2.5882198810577393
134,true,38613504,7966825,23897948,9293543,267,2.594532012939453
135,true,38748325,7995638,23984368,9327150,269,2.5968449115753174
136,true,38883146,8024451,24070788,9360757,271,2.61007022857666
137,true,38940015,8028568,24083120,9365552,273,2.7450191974639893
138,true,38968624,8032685,24095452,9370347,275,2.710573196411133
