n,correct,additions,multiplications,time
3,true,4,11,0.1769411563873291
4,true,4,44,0.00010704994201660156
5,true,9,70,4.792213439941406e-5
6,true,9,155,7.081031799316406e-5
7,true,16,227,7.891654968261719e-5
8,true,16,420,0.00011086463928222656
9,true,25,514,0.00012993812561035156
10,true,25,777,0.0001800060272216797
11,true,36,967,0.00021791458129882812
12,true,36,1440,0.0002949237823486328
13,true,49,1662,0.00033092498779296875
14,true,49,2233,0.0004100799560546875
15,true,64,2629,0.0004658699035644531
16,true,64,3552,0.0005841255187988281
17,true,81,3910,0.0006539821624755859
18,true,81,4825,0.0008280277252197266
19,true,100,5421,0.0009238719940185547
20,true,100,6828,0.00115203857421875
21,true,121,7428,0.001255035400390625
22,true,121,8901,0.0014979839324951172
23,true,144,9869,0.0016210079193115234
24,true,144,12052,0.0019488334655761719
25,true,169,12862,0.0020639896392822266
26,true,169,14855,0.0023369789123535156
27,true,196,16115,0.0025229454040527344
28,true,196,19000,0.002875804901123047
29,true,225,20194,0.0030660629272460938
30,true,225,23035,0.01442098617553711
31,true,256,24873,0.003582000732421875
32,true,256,28912,0.004163980484008789
33,true,289,30310,0.0043621063232421875
34,true,289,33713,0.005085945129394531
35,true,324,35801,0.005455970764160156
36,true,324,40572,0.006399869918823242
37,true,361,42482,0.006706953048706055
38,true,361,47021,0.007773160934448242
39,true,400,49891,0.015584945678710938
40,true,400,56204,0.008914947509765625
41,true,441,58424,0.009184122085571289
42,true,441,63747,0.01004481315612793
43,true,484,67005,0.010498046875
44,true,484,74328,0.01646900177001953
45,true,529,77254,0.011952877044677734
46,true,529,84079,0.01734185218811035
47,true,576,88401,0.01345682144165039
48,true,576,97744,0.014835834503173828
49,true,625,100882,0.01917099952697754
50,true,625,108383,0.020128965377807617
51,true,676,112901,0.017010927200317383
52,true,676,123076,0.022274017333984375
53,true,729,127066,0.022758007049560547
54,true,729,136399,0.024245023727416992
55,true,784,142227,0.020910024642944336
56,true,784,154876,0.026504039764404297
57,true,841,159234,0.027142047882080078
58,true,841,169537,0.028462886810302734
59,true,900,175771,0.029255151748657227
60,true,900,189624,0.031058073043823242
61,true,961,195092,0.03193402290344238
62,true,961,207681,0.03348994255065918
63,true,1024,215595,0.03434419631958008
64,true,1024,232512,0.03672289848327637
65,true,1089,238038,0.04159998893737793
66,true,1089,251153,0.03980588912963867
67,true,1156,258945,0.04110217094421387
68,true,1156,276428,0.04813694953918457
69,true,1225,283174,0.04913592338562012
70,true,1225,298893,0.04815387725830078
71,true,1296,308599,0.05383419990539551
72,true,1296,329612,0.05741691589355469
73,true,1369,336742,0.05827617645263672
74,true,1369,353539,0.06106400489807129
75,true,1444,363591,0.06644582748413086
76,true,1444,385888,0.0662388801574707
77,true,1521,394572,0.07153201103210449
78,true,1521,414527,0.07071089744567871
79,true,1600,426963,0.07630205154418945
80,true,1600,453504,0.08060789108276367
81,true,1681,462164,0.08152389526367188
82,true,1681,482587,0.08542680740356445
83,true,1764,494675,0.08715486526489258
84,true,1764,521628,0.09137606620788574
85,true,1849,531984,0.09239315986633301
86,true,1849,555939,0.10026216506958008
87,true,1936,570701,0.098236083984375
88,true,1936,602444,0.10655999183654785
89,true,2025,613158,0.10792112350463867
90,true,2025,638221,0.11169695854187012
91,true,2116,653191,0.11395883560180664
92,true,2116,686184,0.11878490447998047
93,true,2209,699016,0.12032794952392578
94,true,2209,728277,0.127547025680542
95,true,2304,746503,0.1332399845123291
96,true,2304,785136,0.1364610195159912
97,true,2401,797538,0.1358029842376709
98,true,2401,826711,0.14572906494140625
99,true,2500,843865,0.14719891548156738
100,true,2500,882084,0.15091609954833984
101,true,2601,896652,0.15348505973815918
102,true,2601,930327,0.16437888145446777
103,true,2704,950957,0.16421890258789062
104,true,2704,995316,0.17270898818969727
105,true,2809,1010174,0.17052984237670898
106,true,2809,1044909,0.18102383613586426
107,true,2916,1065531,0.18267202377319336
108,true,2916,1110992,0.1899549961090088
109,true,3025,1128538,0.19684791564941406
110,true,3025,1168565,0.19527697563171387
111,true,3136,1193369,0.2004380226135254
112,true,3136,1245968,0.2153470516204834
113,true,3249,1262926,0.21658682823181152
114,true,3249,1302657,0.2174057960510254
115,true,3364,1326013,0.23043608665466309
116,true,3364,1377820,0.23249077796936035
117,true,3481,1397568,0.23635482788085938
118,true,3481,1442973,0.24949097633361816
119,true,3600,1470809,0.2505228519439697
120,true,3600,1530356,0.2624800205230713
121,true,3721,1550284,0.26187896728515625
122,true,3721,1596623,0.2702369689941406
123,true,3844,1624157,0.2728898525238037
124,true,3844,1684544,0.2815670967102051
125,true,3969,1707896,0.44112396240234375
126,true,3969,1760835,0.29258298873901367
127,true,4096,1793691,0.31669020652770996
128,true,4096,1862976,0.308391809463501
129,true,4225,1884950,0.306643009185791
130,true,4225,1936433,0.32179999351501465
131,true,4356,1966513,0.32946109771728516
132,true,4356,2033356,0.3422970771789551
133,true,4489,2058638,0.34331393241882324
134,true,4489,2116909,0.3618898391723633
135,true,4624,2152415,0.3621339797973633
136,true,4624,2228588,0.3864719867706299
137,true,4761,2253898,0.3854529857635498
138,true,4761,2312899,0.3991081714630127
139,true,4900,2347731,0.40895986557006836
140,true,4900,2424368,0.4223959445953369
141,true,5041,2453744,0.44530701637268066
142,true,5041,2520607,0.4694080352783203
143,true,5184,2561855,0.4646139144897461
144,true,5184,2649152,0.49247002601623535
145,true,5329,2677090,0.4800229072570801
146,true,5329,2742379,0.5036070346832275
147,true,5476,2780565,0.5003669261932373
148,true,5476,2865124,0.5085341930389404
149,true,5625,2897154,0.515017032623291
150,true,5625,2970659,0.5408899784088135
151,true,5776,3015531,0.559455156326294
152,true,5776,3111372,0.5670030117034912
153,true,5929,3143236,0.5577049255371094
154,true,5929,3217189,0.5744359493255615
155,true,6084,3260937,0.5817649364471436
156,true,6084,3356752,0.5998940467834473
157,true,6241,3393602,0.601513147354126
158,true,6241,3477005,0.6218850612640381
159,true,6400,3528589,0.641671895980835
160,true,6400,3637200,0.6536228656768799
161,true,6561,3671540,0.6512951850891113
162,true,6561,3751763,0.667288064956665
163,true,6724,3798511,0.6829619407653809
164,true,6724,3902124,0.6975629329681396
165,true,6889,3941190,0.7051429748535156
166,true,6889,4030955,0.7125539779663086
167,true,7056,4085547,0.727571964263916
168,true,7056,4202340,0.7489781379699707
169,true,7225,4241004,0.7528190612792969
170,true,7225,4330857,0.7656538486480713
171,true,7396,4383797,0.7741739749908447
172,true,7396,4499960,0.7994089126586914
173,true,7569,4544392,0.9757819175720215
174,true,7569,4645193,0.8385801315307617
175,true,7744,4707299,0.955254077911377
176,true,7744,4838352,0.891495943069458
177,true,7921,4880130,0.9213228225708008
178,true,7921,4977485,1.0051960945129395
179,true,8100,5034321,0.9020090103149414
180,true,8100,5159868,0.917518138885498
181,true,8281,5207328,0.9520580768585205
182,true,8281,5315921,0.9849450588226318
183,true,8464,5382129,1.0866718292236328
184,true,8464,5523172,1.0884740352630615
185,true,8649,5569952,1.028804063796997
186,true,8649,5678195,1.001107931137085
187,true,8836,5742145,1.024590015411377
188,true,8836,5881840,1.1484689712524414
189,true,9025,5935504,1.1382699012756348
190,true,9025,6056575,1.1452600955963135
191,true,9216,6131403,1.2203779220581055
192,true,9216,6288512,1.1975760459899902
193,true,9409,6337874,1.162121057510376
194,true,9409,6453015,1.2586669921875
195,true,9604,6519921,1.1934599876403809
196,true,9604,6668084,1.235037088394165
197,true,9801,6723752,1.4309711456298828
198,true,9801,6851543,1.2449009418487549
199,true,10000,6929065,1.2404201030731201
200,true,10000,7094804,1.2957041263580322
