n,correct,additions,multiplications,inversions,lu_factorizations,execution_time
3,1.0,4,8,0,4,0.0001206
4,1.0,23,24,1,6,7.29e-5
5,1.0,34,64,1,8,6.91e-5
6,1.0,87,154,2,10,0.0001069
7,1.0,126,212,3,12,0.0001786
8,1.0,259,376,5,14,0.0002049
9,1.0,302,544,5,16,0.000215
10,1.0,475,930,6,18,0.000289
11,1.0,578,1158,7,20,0.0003444
12,1.0,893,1696,9,22,0.0004491
13,1.0,1010,1918,10,24,0.0005007
14,1.0,1409,2482,12,26,0.0006005
15,1.0,1658,2852,14,28,0.0006806
16,1.0,2331,3736,17,30,0.0008274
17,1.0,2502,4416,17,32,0.0010222
18,1.0,3123,5986,18,34,0.0012615
19,1.0,3454,6894,19,36,0.0016451
20,1.0,4389,8928,21,38,0.0015675
21,1.0,4690,9704,22,40,0.0017652
22,1.0,5683,11530,24,42,0.0021009
23,1.0,6246,12658,26,44,0.0141604
24,1.0,7731,15152,29,46,0.0021757
25,1.0,8156,16022,30,48,0.0022324
26,1.0,9551,18126,32,50,0.0024772
27,1.0,10328,19412,34,52,0.0026442
28,1.0,12393,22352,37,54,0.0037631
29,1.0,13100,23534,39,56,0.0034139
30,1.0,15175,26358,42,58,0.0037947
31,1.0,16396,28160,45,60,0.0108954
32,1.0,19403,32152,49,62,0.0041454
33,1.0,20086,34880,49,64,0.0042895
34,1.0,22435,41186,50,66,0.0052219
35,1.0,23622,44814,51,68,0.0056576
36,1.0,26821,52832,53,70,0.0084993
37,1.0,27782,55824,54,72,0.0075506
38,1.0,30843,62698,56,74,0.007723
39,1.0,32482,66858,58,76,0.0108125
40,1.0,36675,75792,61,78,0.009375
41,1.0,37764,78752,62,80,0.0087041
42,1.0,41369,85670,64,82,0.0132011
43,1.0,43244,89754,66,84,0.0119366
44,1.0,48209,98792,69,86,0.0139504
45,1.0,49758,102268,71,88,0.0144628
46,1.0,54429,110254,74,90,0.0156218
47,1.0,57014,115202,77,92,0.0177833
48,1.0,63427,125784,81,94,0.0154578
49,1.0,65076,129230,82,96,0.0182926
50,1.0,70319,137374,84,98,0.0189289
51,1.0,73072,142192,86,100,0.0195277
52,1.0,80269,152984,89,102,0.0206611
53,1.0,82548,157138,91,104,0.0182175
54,1.0,89211,166814,94,106,0.0219576
55,1.0,92932,172792,97,108,0.0228268
56,1.0,102043,185744,101,110,0.0234173
57,1.0,104570,190150,103,112,0.0239487
58,1.0,112081,200554,106,114,0.0240702
59,1.0,116150,206804,109,116,0.0303316
60,1.0,126377,220704,113,118,0.0259027
61,1.0,129776,226150,116,120,0.0279138
62,1.0,139145,238714,120,122,0.0303013
63,1.0,144524,246584,124,124,0.0326557
64,1.0,157227,263448,129,126,0.0324651
65,1.0,159958,274368,129,128,0.0363645
66,1.0,169091,299618,130,130,0.0366214
67,1.0,173590,314126,131,132,0.0349235
68,1.0,185413,346080,133,134,0.0422654
69,1.0,188862,357936,134,136,0.0437557
70,1.0,199579,385002,136,138,0.0454256
71,1.0,205162,401290,138,140,0.0520388
72,1.0,219107,435984,141,142,0.0507436
73,1.0,222584,447304,142,144,0.0537124
74,1.0,233985,473478,144,146,0.0540228
75,1.0,239704,488754,146,148,0.0595768
76,1.0,254625,522184,149,150,0.0623837
77,1.0,259074,534836,151,152,0.0684229
78,1.0,272517,563470,154,154,0.070519
79,1.0,279682,581002,157,156,0.0696113
80,1.0,297315,617944,161,158,0.0705966
81,1.0,301548,629624,162,160,0.0786186
82,1.0,315401,656790,164,162,0.0834548
83,1.0,322332,672566,166,164,0.0826357
84,1.0,340565,707408,169,166,0.0817282
85,1.0,345958,720504,171,168,0.0870833
86,1.0,362257,750486,174,170,0.0863298
87,1.0,370942,768706,177,172,0.0960547
88,1.0,392435,807568,181,174,0.1047588
89,1.0,397916,820412,183,176,0.0999064
90,1.0,415095,850186,186,178,0.1068898
91,1.0,423920,867742,189,180,0.1173142
92,1.0,446577,906184,193,182,0.1149956
93,1.0,453548,920920,196,184,0.1062385
94,1.0,473731,954282,200,186,0.1107327
95,1.0,484772,974886,204,188,0.1128406
96,1.0,511403,1018296,209,190,0.1251954
97,1.0,517932,1032014,210,192,0.1236957
98,1.0,538295,1064078,212,194,0.1294394
99,1.0,548680,1082760,214,196,0.13254
100,1.0,575533,1124216,217,198,0.1311356
101,1.0,583700,1139854,219,200,0.1333474
102,1.0,607455,1175854,222,202,0.1381073
103,1.0,620348,1197764,225,204,0.136837
104,1.0,651731,1244736,229,206,0.1485416
105,1.0,659998,1260322,231,208,0.15103
106,1.0,684745,1296642,234,210,0.1497317
107,1.0,697698,1318080,237,212,0.4251893
108,1.0,730313,1365248,241,214,0.1569436
109,1.0,740636,1383334,244,216,0.1604413
110,1.0,769445,1424514,248,218,0.163194
111,1.0,785480,1449936,252,220,0.1692238
112,1.0,823475,1503768,257,222,0.1696372
113,1.0,833258,1521022,259,224,0.1726816
114,1.0,862169,1561386,262,226,0.1741862
115,1.0,877278,1585032,265,228,0.1797271
116,1.0,915293,1637448,269,230,0.1843006
117,1.0,927312,1657350,272,232,0.1870675
118,1.0,960729,1703090,276,234,0.1918607
119,1.0,979268,1731068,280,236,0.1876106
120,1.0,1023299,1790912,285,238,0.3501499
121,1.0,1035382,1810878,288,240,0.4399426
122,1.0,1069819,1857310,292,242,0.4581702
123,1.0,1088254,1884852,296,244,0.4516945
124,1.0,1133465,1945280,301,246,0.4669128
125,1.0,1148302,1968602,305,248,0.4611558
126,1.0,1188039,2021510,310,250,0.47831
127,1.0,1210602,2054316,315,252,0.4860146
128,1.0,1262827,2123544,321,254,0.4902781
129,1.0,1273750,2167232,321,256,0.5003033
130,1.0,1309763,2268258,322,258,0.5411463
131,1.0,1327286,2326286,323,260,0.5503836
132,1.0,1372741,2453984,325,262,0.5863282
133,1.0,1385838,2501296,326,264,0.6297028
134,1.0,1425947,2609130,328,266,0.6744607
135,1.0,1446586,2673930,330,268,0.6507831
136,1.0,1497379,2811664,333,270,0.7106785
137,1.0,1509872,2856424,334,272,0.7063605
138,1.0,1550369,2959622,336,274,0.7386717
139,1.0,1570368,3019666,338,276,0.7563812
140,1.0,1621825,3150664,341,278,0.7453505
141,1.0,1636938,3200020,343,280,0.7545788
142,1.0,1682245,3311246,346,282,0.7902467
143,1.0,1705978,3379114,349,284,0.8302223
144,1.0,1763683,3521496,353,286,0.8448008
145,1.0,1777216,3566112,354,288,0.871779
146,1.0,1821649,3669366,356,290,0.8593705
147,1.0,1843384,3728974,358,292,0.8923493
148,1.0,1900133,3860016,361,294,0.9677492
149,1.0,1916474,3908880,363,296,0.9661756
150,1.0,1966185,4020086,366,298,0.9462097
151,0.0,1992026,4087274,369,300,0.9857727
152,1.0,2055699,4229776,373,302,1.0147266
153,1.0,2071376,4276372,375,304,1.0053914
154,1.0,2121455,4383626,378,306,1.0142239
155,1.0,2146444,4446406,381,308,1.0800701
156,1.0,2210657,4583016,385,310,1.1448901
157,1.0,2229696,4634912,388,312,1.1101618
158,1.0,2285899,4751466,392,314,1.1149177
159,1.0,2315744,4823006,396,316,1.1334852
160,1.0,2387947,4972600,401,318,1.1742828
161,1.0,2404740,5019128,402,320,1.1897186
162,1.0,2459185,5127046,404,322,1.1882983
163,1.0,2485956,5189326,406,324,1.308025
164,1.0,2555957,5326640,409,326,1.6560495
165,1.0,2576174,5377812,411,328,1.2546751
166,1.0,2637109,5494694,414,330,1.2615792
167,1.0,2669006,5565230,417,332,1.3344421
168,1.0,2747595,5715392,421,334,1.3762635
169,1.0,2767040,5764496,423,336,1.4060407
170,1.0,2828239,5877954,426,338,1.4318825
171,1.0,2858988,5944274,429,340,1.4544575
172,1.0,2937873,6089160,433,342,1.4619411
173,1.0,2961416,6144064,436,344,1.4847228
174,1.0,3030095,6267986,440,346,1.5253716
175,0.0,3066864,6343894,444,348,1.5197601
176,1.0,3155571,6503352,449,350,1.5255685
177,1.0,3176756,6553620,451,352,1.5694141
178,1.0,3243495,6670186,454,354,1.6000958
179,1.0,3276816,6737778,457,356,1.5827268
180,1.0,3362925,6886544,461,358,1.6740496
181,1.0,3388340,6942328,464,360,1.6571376
182,1.0,3463019,7069442,468,362,1.8023566
183,0.0,3502724,7146538,472,364,1.7345306
184,1.0,3599371,7310208,477,366,1.6928003
