n,correct,additions,multiplications,matrix_additions,matrix_multiplications,matrix_inversions,matrix_lu_factorizations,time
2,true,1,3,1,0,2,3,0.06535100936889648
3,true,59,24,56,21,4,5,4.506111145019531e-5
4,true,64,41,61,21,10,7,4.291534423828125e-5
5,true,667,188,494,189,12,9,9.489059448242188e-5
6,true,951,295,769,294,18,11,0.00013494491577148438
7,true,963,312,774,294,24,13,0.00013899803161621094
8,true,1014,355,819,308,34,15,0.0001571178436279297
9,true,5676,1384,3898,1505,36,17,0.0004780292510986328
10,true,8675,2121,6063,2345,42,19,0.0007169246673583984
11,true,8970,2228,6338,2450,48,21,0.0007541179656982422
12,true,9850,2505,7085,2737,58,23,0.0008530616760253906
13,true,10253,2522,7090,2737,64,25,0.0008628368377685547
14,true,10325,2565,7135,2751,74,27,0.0008709430694580078
15,true,10391,2608,7180,2765,84,29,0.0008919239044189453
16,true,10502,2677,7265,2793,98,31,0.00092315673828125
17,true,44017,9880,28866,11193,100,33,0.0031671524047851562
18,true,67293,15027,44261,17178,106,35,0.004742145538330078
19,true,70311,15764,46426,18018,112,37,0.01208806037902832
20,true,78424,17679,52087,20216,122,39,0.0055389404296875
21,true,79334,17786,52362,20321,128,41,0.005532979965209961
22,true,80247,18063,53109,20608,138,43,0.005652904510498047
23,true,81150,18340,53856,20895,148,45,0.0060689449310302734
24,true,82648,18787,55075,21364,162,47,0.0059511661529541016
25,true,86424,18804,55080,21364,168,49,0.0059108734130859375
26,true,88425,18847,55125,21378,178,51,0.0059719085693359375
27,true,88524,18890,55170,21392,188,53,0.005914926528930664
28,true,88934,18959,55255,21420,202,55,0.005981922149658203
29,true,89839,19002,55300,21434,212,57,0.006026029586791992
30,true,89995,19071,55385,21462,226,59,0.0061299800872802734
31,true,90137,19140,55470,21490,240,61,0.012655019760131836
32,true,90338,19235,55595,21532,258,63,0.006036043167114258
33,true,326656,69656,206850,80353,260,65,0.02166295051574707
34,true,494163,105673,314855,122353,266,67,0.038255929946899414
35,true,517474,110820,330250,128338,272,69,0.03348183631896973
36,true,578622,124201,370309,143913,282,71,0.04091691970825195
37,true,582703,124938,372474,144753,288,73,0.04164910316467285
38,true,590873,126853,378135,146951,298,75,0.03704094886779785
39,true,599025,128768,383796,149149,308,77,0.0422818660736084
40,true,612290,131861,392953,152705,322,79,0.04329490661621094
41,true,618533,131968,393228,152810,328,81,0.04311203956604004
42,true,622479,132245,393975,153097,338,83,0.043617963790893555
43,true,623435,132522,394722,153384,348,85,0.04369688034057617
44,true,625404,132969,395941,153853,362,87,0.03875994682312012
45,true,627594,133246,396688,154140,372,89,0.04366898536682129
46,true,629161,133693,397907,154609,386,91,0.043686866760253906
47,true,630706,134140,399126,155078,400,93,0.04382205009460449
48,true,632868,134757,400817,155729,418,95,0.04414176940917969
49,true,661479,134774,400822,155729,424,97,0.04426217079162598
